id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
670,SFY,2012,11,36.530030499999995,41.4738944902932,cnj04,stepwiseqtl,self,34.370025,38.690036,1,1,1,1,1,1
655,PFR,2014,1,61.265058,34.7884262901744,cnj04,stepwiseqtl,self,58.280056,64.25006,1,1,1,1,1,1
677,TA,2014,11,38.025035,30.6110941845282,cnj04,stepwiseqtl,self,37.360034,38.690036,1,1,1,1,1,1
712,UMFM,all-years,10,35.425034499999995,29.7812147823476,cnj04,stepwiseqtl,self,34.830033,36.020036,1,1,1,1,1,1
662,URB,all-years,10,39.990042,29.3707418330101,cnj04,stepwiseqtl,self,36.020036,43.960048,1,1,1,1,1,1
549,Brix,2011,9,86.600058,27.5584267378321,cnj04,stepwiseqtl,self,85.400056,87.80006,1,1,1,1,1,1
701,TY,all-years,12,43.460021499999996,26.9181889303944,cnj04,stepwiseqtl,self,38.110015,48.810028,1,1,1,1,1,1
567,UCLS,2011,3,41.3200375,25.6951982367455,cnj04,stepwiseqtl,self,37.130034,45.510041,1,1,1,1,1,1
640,UNP,2012,8,9.610009,25.6537242876954,cnj04,stepwiseqtl,self,7.550007,11.670011,1,1,1,1,1,1
711,UMFM,2014,5,42.190014000000005,25.4622100739888,cnj04,stepwiseqtl,self,41.750013,42.630015,1,1,1,1,1,1
593,UKTO,all-years,2,57.725062,25.0046175218542,cnj04,stepwiseqtl,self,56.670059,58.780065,1,1,1,1,1,1
544,UBM,all-years,10,35.425034499999995,24.9732956409825,cnj04,stepwiseqtl,self,34.830033,36.020036,1,1,1,1,1,1
668,SFY,all-years,10,62.950067,24.5531158143533,cnj04,stepwiseqtl,self,61.460066,64.440068,1,1,1,1,1,1
660,URB,2014,5,31.265008,23.7908851732488,cnj04,stepwiseqtl,self,25.480007,37.050009,1,1,1,1,1,1
536,UBL,all-years,11,4.030002,23.6578372411587,cnj04,stepwiseqtl,self,1.19,6.870004,1,1,1,1,1,1
572,UCLS,2014,11,43.7550405,23.5605510681161,cnj04,stepwiseqtl,self,39.890039,47.620042,1,1,1,1,1,1
