method,model,trait,chr,position,chr2,position2,nearest.marker,qtl.lod,marker.variance,qtl.pvalue,model.variance,interval.left,interval.marker.left,interval,interval.right,interval.marker.right,GLRpvalue,GxYLRpvalue,GZRpvalue,GxYZRpvalue,position.consensus
scanone,2014,berry_length,2,13.200013,NA,NA,bin_2@13.2cM_scaffold_10943_5950,3.63422540869165,10.0800753222125,0.00245428909428447,64.4769427692378,0,SCF31394,39.130039,39.130039,scaffold_99178_612,0.00811,NA,0.006817923774193,NA,13.1882150512821
scanone,2014,berry_length,7,14.310007,NA,NA,bin_7@14.31cM_scaffold_20071_618,5.6790673568937,16.961886295099,5.29031663425439e-5,64.4769427692378,11.040003,scaffold_23393_1217,10.020014,21.060017,scaffold_16570_4501,0.00811,NA,0.006817923774193,NA,13.1882150512821
scanone,2012,berry_length,8,36.230028,NA,NA,bin_8@36.23cM_scaffold_51424_477,3.63507944890775,12.3309089485814,0.00245040660692841,56.5563481002993,13.890014,scaffold_32595_3575,44.160038,58.050052,scaffold_126870_338,0.01934,NA,0.0124248304634159,NA,36.4144662924528
scanone,2012,berry_length,10,44.99005,NA,NA,bin_10@44.99cM_vm72062,3.24864628147738,10.8689790680068,0.00500407240452683,56.5563481002993,0,scaffold_83189_881,79.760083,79.760083,scaffold_5986_5422,0.01934,NA,0.0124248304634159,NA,44.3457994393939
scanone,2012,berry_length,11,16.420014,NA,NA,bin_11@16.42cM_scaffold_170652_55,6.72804726406386,25.5427599673286,7.21015339366637e-6,56.5563481002993,9.570008,scaffold_125_21038,27.08002,36.650028,scaffold_1958_7238,0.01934,NA,0.0124248304634159,NA,17.0789887051282
scanone,2014,berry_length,11,15.290013,NA,NA,bin_11@15.29cM_scaffold_24233_376,8.80095713424857,29.5236735283753,1.36528184313534e-7,64.4769427692378,8.360007,scaffold_49144_617,11.820008,20.180015,scaffold_72495_1231,0.00811,NA,0.006817923774193,NA,17.0789887051282
scanone,all-years,berry_length,11,15.290013,NA,NA,bin_11@15.29cM_scaffold_24233_376,5.93055944755573,33.4775287188883,1.01235191265481e-5,33.4775287188883,6.030003,scaffold_138284_165,18.510016,24.540019,scaffold_113473_247,1.15453912187644e-19,0.99828,4.45061761902219e-5,0.5,17.0789887051282
scanone,all-years,berry_skin,1,9.430005,NA,NA,bin_1@9.43cM_scaffold_9160_2298,8.370910115438,19.3998252800966,3.11654006712736e-7,75.0574253465157,2.110003,scaffold_7138_265,12.000006,14.110009,scaffold_324_4853,0.01006,NA,0.0428620738489774,NA,9.23871633870968
scanone,2012,berry_skin,3,36.490033,NA,NA,bin_3@36.49cM_scaffold_3243_9538,11.425208649458,41.9896554374154,2.7442237371389e-10,64.8051495981389,25.500019,scaffold_103107_262,14.980018,40.480037,scaffold_8287_2876,0.01411,NA,0.0495845434857803,NA,36.4144662924528
scanone,all-years,berry_skin,3,40.480037,NA,NA,bin_3@40.48cM_scaffold_61162_731,9.70159372646796,23.6467758062199,2.41610944584636e-8,75.0574253465157,25.500019,scaffold_103107_262,21.500023,47.000042,scaffold_8068_4160,0.01006,NA,0.0428620738489774,NA,40.5585541111111
scanone,2012,berry_skin,9,87.80006,NA,NA,bin_9@87.8cM_scaffold_70962_1187,5.38908496565775,15.7789872568141,5.37742302518796e-5,64.8051495981389,59.090037,scaffold_45130_2496,30.770027,89.860064,scaffold_4231_7194,0.01411,NA,0.0495845434857803,NA,86.5404655
scanone,all-years,berry_skin,9,87.940061,NA,NA,bin_9@87.94cM_scaffold_3698_12740,10.4067032297991,26.0596521670247,6.2106406684137e-9,75.0574253465157,87.340059,scaffold_77647_641,2.520005,89.860064,scaffold_4231_7194,0.01006,NA,0.0428620738489774,NA,86.5404655
scanone,all-years,Brix,3,39.510036,NA,NA,bin_3@39.51cM_scaffold_10536_5015,3.58572016468595,15.7377493247681,0.00189744402706027,43.6909091038772,25.500019,scaffold_103107_262,21.500023,47.000042,scaffold_8068_4160,3e-5,NA,0.00649979513670781,NA,40.5585541111111
scanone,2011,Brix,9,87.340059,NA,NA,bin_9@87.34cM_scaffold_74053_1006,4.23755105883266,25.2681147041346,3.4836060293108e-4,25.2681147041346,75.260048,scaffold_17741_2859,14.600016,89.860064,scaffold_4231_7194,3.2e-4,NA,0.00499086825405499,NA,86.5404655
scanone,all-years,Brix,11,39.890039,NA,NA,bin_11@39.89cM_SCF21596,4.97479770664203,22.9556309307933,1.2260954803267e-4,43.6909091038772,21.880016,scaffold_71024_1614,25.740026,47.620042,scaffold_33043_2724,3e-5,NA,0.00649979513670781,NA,40.5585541111111
scanone,all-years,calyx_diam,2,57.45006,NA,NA,bin_2@57.45cM_SCF125667,5.38462953609137,20.3769404170593,5.4253752067468e-5,54.5044658127807,56.670059,scaffold_26229_3473,6.130013,62.800072,scaffold_43613_1759,0.02859,NA,0.0739670656004793,NA,57.6351807631579
scanone,2014,calyx_diam,4,56.900049,NA,NA,bin_4@56.9cM_scaffold_7894_1547,6.5411180369937,28.0373450317048,5.36970568387751e-6,50.6106009000974,32.320028,X305731_K63,46.620029,78.940057,scaffold_56_5956,0.02647,NA,0.0518497663921318,NA,57.6351807631579
scanone,all-years,calyx_diam,4,29.330026,NA,NA,bin_4@29.33cM_scaffold_90402_452,7.26606841336821,29.4708101246489,1.25072952950056e-6,54.5044658127807,18.390014999999998,scaffold_14223_3778,25.470026,43.860041,scaffold_65387_812,0.02859,NA,0.0739670656004793,NA,28.3744702444444
scanone,2014,calyx_diam,12,75.77005,NA,NA,bin_12@75.77cM_scaffold_67779_294,3.84253632815797,14.9291618855648,0.00114745153787554,50.6106009000974,46.300025,scf37h,29.470025,75.77005,scaffold_67779_294,0.02647,NA,0.0518497663921318,NA,74.1230958484849
scanone,all-years,calyx_lobe_form,4,62.260051,NA,NA,bin_4@62.26cM_scaffold_12816_2498,3.80864643241286,23.0322020226601,8.4619067547298e-4,23.0322020226601,27.340024,scaffold_23760_3475,51.600033,78.940057,scaffold_56_5956,0.03328,NA,0.0245879491169094,NA,61.8062707111111
