method,model,trait,chr,position,chr2,position2,nearest.marker,qtl.lod,marker.variance,qtl.pvalue,model.variance,interval.left,interval.marker.left,interval,interval.right,interval.marker.right,GLRpvalue,GxYLRpvalue,GZRpvalue,GxYZRpvalue,position.consensus
stepwiseqtl,all-years,BBI_SFY,3,4.650002,NA,NA,bin_3@4.65cM_scaffold_17610_5409,20.1242007293373,11.8936349019293,2.2204460492503099e-16,83.8422846721696,1.16,contig130Fb,5.870006,7.030006,scaffold_4840_3606,0.01014,NA,0.0132652378894212,NA,4.99156834375
stepwiseqtl,all-years,BBI_SFY,3,52.940053,NA,NA,bin_3@52.94cM_scaffold_14059_5352,19.1010806825775,11.1178505772837,1.5543122344752201e-15,83.8422846721696,47.000051,scaffold_19176_176,9.180004,56.180055,scf5304,0.01014,NA,0.0132652378894212,NA,52.4237119677419
stepwiseqtl,all-years,BBI_SFY,11,30.320034,NA,NA,bin_11@30.32cM_scaffold_28856_2095,22.445543873333,13.7366135440644,0,83.8422846721696,27.520031,scaffold_58982_213,3.710004,31.230035,scaffold_62302_445,0.01014,NA,0.0132652378894212,NA,29.5414892538462
stepwiseqtl,all-years,BBI_TY,11,20.18002,NA,NA,bin_11@20.18cM_scaffold_72495_1231,24.0582820752258,15.7708579031811,0,83.1108199866125,17.250019,scaffold_26864_4373,4.630002,21.880021,scaffold_1122_2182,0.00266,0.9871,0.0054247802198028,0.00318056684276997,18.8971745882353
stepwiseqtl,all-years,BBI_TY,12,56.660039,NA,NA,bin_12@56.66cM_SCF116567,28.081513829469,19.578849761629,0,83.1108199866125,54.960038,scaffold_43277_250,2.630003,57.590041,scaffold_9105_1938,0.00266,0.9871,0.0054247802198028,0.00318056684276997,55.7424152818182
stepwiseqtl,2012,berry_length,3,58.580056,NA,NA,bin_3@58.58cM_scaffold_42994_1177,28.4461946957658,10.1920246764931,2.33146835171283e-14,92.8391832017422,52.940053,scaffold_14059_5352,8.020004,60.960057,scaffold_72821_1430,9.90398263306532e-10,NA,1.7388986595971e-4,NA,58.518545469697
stepwiseqtl,all-years,berry_length,3,45.51005,NA,NA,bin_3@45.51cM_scaffold_12440_4793,32.5064295164187,10.1214016390518,7.99360577730113e-15,92.9600331859745,43.300049,scaffold_64332_1557,7.340003,50.640052,scaffold_11842_6734,5.5106753187331694e-49,0.99672,4.38287811505069e-8,0.5,45.4421303055556
stepwiseqtl,2013,berry_length,8,20.980021,NA,NA,bin_8@20.98cM_36394_K70,23.7648496783526,11.0958431682373,9.67226299053436e-13,89.8651396758482,17.460018,SCF71136,7.700007,25.160025,scaffold_2111_5324,2e-5,NA,0.00229282762542134,NA,18.8971745882353
stepwiseqtl,2012,berry_length,10,52.800056,NA,NA,bin_10@52.8cM_scaffold_4545_1974,32.4084140687746,12.4689031815769,0,92.8391832017422,51.790055,scaffold_6929_8428,2.380002,54.170057,SCF80520,9.90398263306532e-10,NA,1.7388986595971e-4,NA,52.4237119677419
stepwiseqtl,2013,berry_length,10,44.990047,NA,NA,bin_10@44.99cM_vm72062,23.6000363705703,10.9872437491472,0,89.8651396758482,43.210044,scaffold_4975_3252,2.540004,45.750048,SCF107715,2e-5,NA,0.00229282762542134,NA,45.4421303055556
stepwiseqtl,all-years,berry_length,10,51.790055,NA,NA,bin_10@51.79cM_scaffold_6929_8428,34.7696101831556,11.2197712236468,4.44089209850063e-16,92.9600331859745,50.000054,scaffold_21777,4.170003,54.170057,SCF80520,5.5106753187331694e-49,0.99672,4.38287811505069e-8,0.5,52.4237119677419
stepwiseqtl,2013,berry_length,11,30.320034,NA,NA,bin_11@30.32cM_scaffold_28856_2095,34.9413652453788,19.9257905124305,0,89.8651396758482,28.380033,scaffold_115280_182,2.850002,31.230035,scaffold_62302_445,2e-5,NA,0.00229282762542134,NA,29.5414892538462
stepwiseqtl,all-years,berry_skin,7,62.02008,NA,NA,bin_7@62.02cM_SCF128015,21.4444466510313,10.8353879498133,0,86.4570649707684,59.000078,SCF4305,9.540009,68.540087,SCF110168,0.03359,0.98887,0.039178950788224,8.21698677007881e-8,61.916488625
stepwiseqtl,2011,berry_weight,3,45.51005,NA,NA,bin_3@45.51cM_scaffold_12440_4793,36.7549998319821,12.6792042947,0,92.7080509761038,40.480045,scaffold_61162_731,6.520006,47.000051,scaffold_19176_176,3.8e-4,NA,0.00419555321109128,NA,45.4421303055556
stepwiseqtl,2012,berry_weight,3,56.180055,NA,NA,bin_3@56.18cM_scf5304,36.3639135197071,10.6267911697197,0,94.9403549417923,52.940053,scaffold_14059_5352,5.640003,58.580056,SCF85773,1e-5,NA,0.00102976206383537,NA,55.7424152818182
stepwiseqtl,all-years,berry_weight,3,47.000051,NA,NA,bin_3@47cM_scaffold_200430_94,46.9697202246998,14.9154617927403,0,94.3153046135927,45.51005,scaffold_12440_4793,5.130002,50.640052,scaffold_11842_6734,1.2212588970339e-17,NA,1.88173520890327e-5,NA,48.6364195824176
stepwiseqtl,2011,berry_weight,10,34.830031,NA,NA,bin_10@34.83cM_scaffold_140834_192,36.1092276370103,12.328790916696,0,92.7080509761038,32.910029,scaffold_12381_1637,3.700008,36.610037,scaffold_42230_1280,3.8e-4,NA,0.00419555321109128,NA,35.8390288655462
stepwiseqtl,all-years,berry_weight,10,48.940051,NA,NA,bin_10@48.94cM_scaffold_19499_3539,40.6837096342931,11.6548247595924,0,94.3153046135927,45.750048,SCF107715,4.250006,50.000054,scaffold_21777,1.2212588970339e-17,NA,1.88173520890327e-5,NA,48.6364195824176
stepwiseqtl,2012,berry_weight,11,30.320034,NA,NA,bin_11@30.32cM_scaffold_28856_2095,58.4030797967293,26.0826675280746,0,94.9403549417923,28.380033,scaffold_115280_182,2.850002,31.230035,scaffold_62302_445,1e-5,NA,0.00102976206383537,NA,29.5414892538462
stepwiseqtl,all-years,berry_weight,11,30.320034,NA,NA,bin_11@30.32cM_scaffold_28856_2095,55.3060575871222,20.2041478353436,0,94.3153046135927,28.380033,scaffold_115280_182,2.850002,31.230035,scaffold_62302_445,1.2212588970339e-17,NA,1.88173520890327e-5,NA,29.5414892538462
