"method","model","trait","chr","position","chr2","position2","nearest.marker","qtl.lod","marker.variance","qtl.pvalue","model.variance","interval.left","interval.marker.left","interval","interval.right","interval.marker.right","GLRpvalue","GxYLRpvalue","GZRpvalue","GxYZRpvalue","position.consensus"
"scanone","2011","BBI_SFY",3,37.130034,NA,NA,"bin_3@37.13cM_scaffold_158866_55",5.68791562134954,6.12995573149121,0.000279563519050563,87.1862348370291,33.360027,"scaffold_70042_940",7.12001,40.480037,"scaffold_8287_2876",0.06216,NA,0.0960960551792851,NA,36.4144662924528
"scanone","2011","BBI_SFY",5,56.54003,NA,NA,"bin_5@56.54cM_scaffold_44092_853",5.48201116096604,5.8637408394179,0.000387402139808812,87.1862348370291,50.920028,"scaffold_39811_2771",21.290015,72.210043,"scaffold_28619_160",0.06216,NA,0.0960960551792851,NA,57.6351807631579
"scanone","2011","BBI_SFY",7,45.380037,NA,NA,"bin_7@45.38cM_scaffold_82126_543",5.0581804664156,5.32748541584847,0.000756823172214816,87.1862348370291,38.26003,"scaffold_806_2844",11.32001,49.58004,"scaffold_11351_6036",0.06216,NA,0.0960960551792851,NA,44.3457994393939
"scanone","2011","BBI_SFY",8,28.750025,NA,NA,"bin_8@28.75cM_SCF92564",6.62538696057933,7.3907998799765,6.29054051171085e-05,87.1862348370291,25.190022,"SCF8850",11.040006,36.230028,"scaffold_48718_487",0.06216,NA,0.0960960551792851,NA,28.3744702444444
"scanone","2011","BBI_SFY",11,70.43006,NA,NA,"bin_11@70.43cM_scaffold_123424_120",8.82206722898691,10.6837560779319,1.85306983535583e-06,87.1862348370291,35.390027,"scaffold_1773_837",42.630036,78.020063,"scaffold_534_11398",0.06216,NA,0.0960960551792851,NA,69.248268880597
"scanone","2011","BBI_SFY",12,54.110033,NA,NA,"bin_12@54.11cM_scaffold_47570_2090",9.18597239113217,11.278902586624,1.03040577714708e-06,87.1862348370291,50.47003,"scaffold_33116_857",4.490004,54.960034,"scaffold_60306_1438",0.06216,NA,0.0960960551792851,NA,53.9651276721311
"scanone","2011","BBI_TY",3,35.940031,NA,NA,"bin_3@35.94cM_scaffold_6553_5779",7.20983704597639,16.3404948712475,1.20828699193831e-05,74.5243947717192,33.360027,"scaffold_70042_940",5.590008,38.950035,"scaffold_14492_5182",0.12927,NA,0.118256720235113,NA,36.4144662924528
"scanone","2011","BBI_TY",5,56.54003,NA,NA,"bin_5@56.54cM_scaffold_44092_853",3.89654176597176,7.82400805688947,0.00320705763486517,74.5243947717192,50.920028,"scaffold_39811_2771",36.290029,87.210057,"scaffold_38077_2923",0.12927,NA,0.118256720235113,NA,57.6351807631579
"scanone","2011","BBI_TY",7,40.760031,NA,NA,"bin_7@40.76cM_scaffold_109158_282",2.52542348882468,4.82911550351557,0.0301331672039755,74.5243947717192,0.59,"scaffold_13015_2407",48.99004,49.58004,"scaffold_11351_6036",0.12927,NA,0.118256720235113,NA,40.5585541111111
"scanone","2011","BBI_TY",8,41.690033,NA,NA,"bin_8@41.69cM_scaffold_112042_455",4.41130342738166,9.02329174927752,0.00136301167984976,74.5243947717192,26.970023,"scaffold_3419_2517",27.670027,54.64005,"scaffold_67983_1364",0.12927,NA,0.118256720235113,NA,40.5585541111111
"scanone","2011","BBI_TY",12,62.070039,NA,NA,"bin_12@62.07cM_scaffold_91065_486",6.32317441035471,13.8681659301807,5.45495182957545e-05,74.5243947717192,50.47003,"scaffold_33116_857",16.770013,67.240043,"scf6213",0.12927,NA,0.118256720235113,NA,61.8062707111111
"scanone","2014","berry_length",2,13.200013,NA,NA,"bin_2@13.2cM_scaffold_10943_5950",3.63422540869165,10.0800753222125,0.00245428909428447,64.4769427692378,0,"SCF31394",39.130039,39.130039,"scaffold_99178_612",0.00811,NA,0.006817923774193,NA,13.1882150512821
"scanone","2011","berry_length",4,18.450016,NA,NA,"bin_4@18.45cM_5ms2b12",3.22526048011037,12.375795871981,0.00383044638459229,50.1333359071448,3.330005,"scaffold_2971_4637",82.97006,86.300065,"scaffold_21171_3841",0.3267,NA,0.129983079234573,NA,17.0789887051282
"scanone","2014","berry_length",7,14.310007,NA,NA,"bin_7@14.31cM_scaffold_20071_618",5.6790673568937,16.961886295099,5.29031663425439e-05,64.4769427692378,11.040003,"scaffold_23393_1217",10.020014,21.060017,"scaffold_16570_4501",0.00811,NA,0.006817923774193,NA,13.1882150512821
"scanone","2012","berry_length",8,36.230028,NA,NA,"bin_8@36.23cM_scaffold_51424_477",3.63507944890775,12.3309089485814,0.00245040660692841,56.5563481002993,13.890014,"scaffold_32595_3575",44.160038,58.050052,"scaffold_126870_338",0.01934,NA,0.0124248304634159,NA,36.4144662924528
"scanone","2012","berry_length",10,44.99005,NA,NA,"bin_10@44.99cM_vm72062",3.24864628147738,10.8689790680068,0.00500407240452683,56.5563481002993,0,"scaffold_83189_881",79.760083,79.760083,"scaffold_5986_5422",0.01934,NA,0.0124248304634159,NA,44.3457994393939
"scanone","2011","berry_length",11,16.420014,NA,NA,"bin_11@16.42cM_scaffold_170652_55",6.70132503295255,29.1738706207203,3.89306501202835e-06,50.1333359071448,7.470005,"scaffold_2033_8836",42.590038,50.060043,"scaffold_7078_6962",0.3267,NA,0.129983079234573,NA,17.0789887051282
"scanone","2012","berry_length",11,16.420014,NA,NA,"bin_11@16.42cM_scaffold_170652_55",6.72804726406386,25.5427599673286,7.21015339366637e-06,56.5563481002993,9.570008,"scaffold_125_21038",27.08002,36.650028,"scaffold_1958_7238",0.01934,NA,0.0124248304634159,NA,17.0789887051282
"scanone","2014","berry_length",11,15.290013,NA,NA,"bin_11@15.29cM_scaffold_24233_376",8.80095713424857,29.5236735283753,1.36528184313534e-07,64.4769427692378,8.360007,"scaffold_49144_617",11.820008,20.180015,"scaffold_72495_1231",0.00811,NA,0.006817923774193,NA,17.0789887051282
"scanone","all-years","berry_length",11,15.290013,NA,NA,"bin_11@15.29cM_scaffold_24233_376",5.93055944755573,33.4775287188883,1.01235191265481e-05,33.4775287188883,6.030003,"scaffold_138284_165",18.510016,24.540019,"scaffold_113473_247",1.15453912187644e-19,0.99828,4.45061761902219e-05,0.5,17.0789887051282
"scanone","2011","berry_skin",1,15.690011,NA,NA,"bin_1@15.69cM_scaffold_16410_888",12.6922481879854,41.0665399569365,7.50441930819079e-11,70.511234001022,9.430005,"scaffold_1100_4209",11.150012,20.580017,"scaffold_42029_793",0.86646,NA,0.438295890746124,NA,17.0789887051282
"scanone","all-years","berry_skin",1,9.430005,NA,NA,"bin_1@9.43cM_scaffold_9160_2298",8.370910115438,19.3998252800966,3.11654006712736e-07,75.0574253465157,2.110003,"scaffold_7138_265",12.000006,14.110009,"scaffold_324_4853",0.01006,NA,0.0428620738489774,NA,9.23871633870968
"scanone","2011","berry_skin",3,68.63005,NA,NA,"bin_3@68.63cM_313711_K70",4.60929557198647,10.991887212666,0.000397801715573465,70.511234001022,52.940043,"scaffold_35616_2275",23.95001,76.890053,"scaffold_22114_4204",0.86646,NA,0.438295890746124,NA,69.248268880597
"scanone","2012","berry_skin",3,36.490033,NA,NA,"bin_3@36.49cM_scaffold_3243_9538",11.425208649458,41.9896554374154,2.7442237371389e-10,64.8051495981389,25.500019,"scaffold_103107_262",14.980018,40.480037,"scaffold_8287_2876",0.01411,NA,0.0495845434857803,NA,36.4144662924528
"scanone","all-years","berry_skin",3,40.480037,NA,NA,"bin_3@40.48cM_scaffold_61162_731",9.70159372646796,23.6467758062199,2.41610944584636e-08,75.0574253465157,25.500019,"scaffold_103107_262",21.500023,47.000042,"scaffold_8068_4160",0.01006,NA,0.0428620738489774,NA,40.5585541111111
"scanone","2014","berry_skin",4,71.240056,NA,NA,"bin_4@71.24cM_scaffold_51672_24",6.9137700877259,9.82012397643494,2.00032301200803e-05,83.8578349297408,63.820053,"scaffold_14096_210",20.75001,84.570063,"scaffold_893_13996",0.99638,NA,0.497223378121715,NA,69.248268880597
"scanone","2011","berry_skin",5,60.970034,NA,NA,"bin_5@60.97cM_scaffold_1210_954",2.86843571375325,6.42670332367676,0.0100489826911712,70.511234001022,40.040012,"scaffold_3215_3255",21.780024,61.820036,"SCF9068",0.86646,NA,0.438295890746124,NA,61.8062707111111
"scanone","2014","berry_skin",5,47.720022,NA,NA,"bin_5@47.72cM_scaffold_59748_765",8.90192788296626,13.6218129148483,6.69294889399374e-07,83.8578349297408,45.840018,"scaffold_19777_2512",10.300011,56.140029,"scaffold_44092_795",0.99638,NA,0.497223378121715,NA,48.3475392142857
"scanone","2014","berry_skin",6,35.78004,NA,NA,"bin_6@35.78cM_scaffold_60523_170",7.9175206657357,11.6745399162863,3.61120686531713e-06,83.8578349297408,28.170032,"scaffold_57397_425",12.190015,40.360047,"scaffold_63438_594",0.99638,NA,0.497223378121715,NA,36.4144662924528
"scanone","2012","berry_skin",9,87.80006,NA,NA,"bin_9@87.8cM_scaffold_70962_1187",5.38908496565775,15.7789872568141,5.37742302518796e-05,64.8051495981389,59.090037,"scaffold_45130_2496",30.770027,89.860064,"scaffold_4231_7194",0.01411,NA,0.0495845434857803,NA,86.5404655
"scanone","2014","berry_skin",9,84.810054,NA,NA,"bin_9@84.81cM_scaffold_10644_3379",7.77993903975604,11.4127305586596,4.56823844707799e-06,83.8578349297408,75.260048,"scaffold_17741_2859",12.540012,87.80006,"scaffold_25489_77",0.99638,NA,0.497223378121715,NA,86.5404655
"scanone","all-years","berry_skin",9,87.940061,NA,NA,"bin_9@87.94cM_scaffold_3698_12740",10.4067032297991,26.0596521670247,6.2106406684137e-09,75.0574253465157,87.340059,"scaffold_77647_641",2.520005,89.860064,"scaffold_4231_7194",0.01006,NA,0.0428620738489774,NA,86.5404655
"scanone","2014","berry_skin",11,79.330064,NA,NA,"bin_11@79.33cM_scaffold_56695_1863",2.36510837128159,2.84945589257195,0.0389486979457063,83.8578349297408,27.530022,"scaffold_4803_6092",67.150053,94.680075,"scaffold_10171_1248",0.99638,NA,0.497223378121715,NA,78.9430342962963
"scanone","2014","berry_weight",1,114.750093,NA,NA,"bin_1@114.75cM_scaffold_50439_2380",4.03537358281864,14.8046100965419,0.00116414501482243,53.6850027507792,92.360081,"scaffold_25202_2559",22.390012,114.750093,"scaffold_77830_839 ",0.63584,NA,0.269160853480316,NA,114.750093
"scanone","2014","berry_weight",2,34.650033,NA,NA,"bin_2@34.65cM_scaffold_50432_741",3.66869778630461,13.2834588337503,0.00230231968532957,53.6850027507792,13.690014,"scaffold_59091_171",45.690053,59.380067,"scaffold_6814_6237",0.63584,NA,0.269160853480316,NA,36.4144662924528
"scanone","2014","berry_weight",3,71.360052,NA,NA,"bin_3@71.36cM_scaffold_52426_2305",4.52276387740704,16.8868132692266,0.000467918635832065,53.6850027507792,37.130034,"scaffold_3243_9598",39.760019,76.890053,"scaffold_22114_4204",0.63584,NA,0.269160853480316,NA,69.248268880597
"scanone","2014","berry_width",3,69.870051,NA,NA,"bin_3@69.87cM_scaffold_41493_2983",3.35794640579791,10.3970912343938,0.00409105633875884,59.9516092200658,43.05004,"scaffold_18271_1049",33.840013,76.890053,"scaffold_22114_4204",0.36913,NA,0.174349825327463,NA,69.248268880597
"scanone","all-years","berry_width",3,47.000042,NA,NA,"bin_3@47cM_scaffold_200430_94",4.02134894355811,12.5307472029112,0.00119498488905911,60.6420386924845,11.200008,"scaffold_303_14773",49.760039,60.960047,"scaffold_72821_1430",0.08533,NA,0.0655886241563338,NA,48.3475392142857
