id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
138,UNAF,all-years,11,14.240015499999998,31.0432027948296,cnj02,scanone,self,8.300011,20.18002,1,1,1,1,1,1
185+186+187,Tacy,2012+2013+2011,3,55.8000545,30.163857738171867,cnj02,scanone,self,50.640052,60.960057,3,3,1,1,1,1
141+142,UNB,all-years+2011,11,46.130054,28.260105002041797,cnj02,scanone,self,44.640053,47.620055,2,2,1,1,1,1
33+34,UBW,all-years+2012,11,29.805034,26.6715880695598,cnj02,scanone,self,28.380033,31.230035,2,2,1,1,1,1
40,UCD,2013,4,21.865021,26.0951681185881,cnj02,scanone,self,20.23002,23.500022,1,1,1,1,1,1
100+101,UKUX,all-years+2011,3,30.705028,25.79584140061855,cnj02,scanone,self,28.640026,32.77003,2,2,1,1,1,1
131+132,UNAB,all-years+2011,3,35.635035,25.463876812488152,cnj02,scanone,self,34.780033,36.490037,2,2,1,1,1,1
148,UNP,all-years,11,23.4250235,24.2471128482473,cnj02,scanone,self,20.18002,26.670027,1,1,1,1,1,1
30,UBM,2012,11,38.200044,24.2153254981613,cnj02,scanone,self,37.200041,39.200047,1,1,1,1,1,1
147,UNP,2013,11,31.885034500000003,23.5938873757101,cnj02,scanone,self,28.380033,35.390036,1,1,1,1,1,1
126,MFM,all-years,10,37.9150365,23.4545477919812,cnj02,scanone,self,33.96003,41.870043,1,1,1,1,1,1
207,UL,2013,9,85.65507600000001,23.0490886957586,cnj02,scanone,self,84.220074,87.090078,1,1,1,1,1,1
106,UKUY,2012,2,34.5450325,23.0258351099282,cnj02,scanone,self,29.370029,39.720036,1,1,1,1,1,1
160+162,PFR,all-years+2011,11,30.7750345,22.88741501064065,cnj02,scanone,self,30.320034,31.230035,2,2,1,1,1,1
125,MFM,2012,10,27.735025,21.6203050436403,cnj02,scanone,self,21.51002,33.96003,1,1,1,1,1,1
192+190+191,UTBM,all-years+2012+2011,11,40.180048,21.480285026232366,cnj02,scanone,self,38.690046,41.67005,3,3,1,1,1,1
164,PFR,all-years,12,14.0200095,20.9933174993598,cnj02,scanone,self,7.180005,20.860014,1,1,1,1,1,1
201+202,UMFM,all-years+2012,11,38.200044,20.7450841950284,cnj02,scanone,self,37.200041,39.200047,2,2,1,1,1,1
52,UCLS,2011,1,41.6200345,20.6816738820705,cnj02,scanone,self,37.460031,45.780038,1,1,1,1,1,1
41,UCD,all-years,4,40.185047,20.4967977907073,cnj02,scanone,self,35.640043,44.730051,1,1,1,1,1,1
157,PAC,2013,7,58.7600765,20.3643564043877,cnj02,scanone,self,55.500073,62.02008,1,1,1,1,1,1
196,TY,2013,12,42.205024,20.1429518255734,cnj02,scanone,self,38.110019,46.300029,1,1,1,1,1,1
24,UBBL,2011,7,53.95007,20.0531187888258,cnj02,scanone,self,52.400067,55.500073,1,1,1,1,1,1
9,BBITY,all-years,11,22.6200255,19.4988948508651,cnj02,scanone,self,17.250019,27.990032,1,1,1,1,1,1
8,BBITY,2012,11,34.1950395,19.3745449413166,cnj02,scanone,self,30.320034,38.070045,1,1,1,1,1,1
184,TA,2011,11,52.42006000000001,19.2426536664195,cnj02,scanone,self,50.060056,54.780064,1,1,1,1,1,1
105,UKUX,2013,11,37.950044000000005,19.0383402790063,cnj02,scanone,self,37.210042,38.690046,1,1,1,1,1,1
26,UBM,2011,3,47.0100495,18.9356929292689,cnj02,scanone,self,41.080046,52.940053,1,1,1,1,1,1
143,UN0,2013,3,39.105042499999996,18.4799649739146,cnj02,scanone,self,37.130039,41.080046,1,1,1,1,1,1
43+44+45,UCD,all-years+2012+2011,7,46.085055499999996,18.2108559243113,cnj02,scanone,self,42.590053,49.580058,3,3,1,1,1,1
48+49,UCLP,all-years+2011,7,29.275041,18.056825471759453,cnj02,scanone,self,25.820039,32.730043,2,2,1,1,1,1
56,UCLS,all-years,3,60.2750575,17.91194416753,cnj02,scanone,self,54.230054,66.320061,1,1,1,1,1,1
90,UKSO,2012,12,52.950036,17.4592088193656,cnj02,scanone,self,46.97003,58.930042,1,1,1,1,1,1
31,UBM,2013,11,43.6200515,17.3361960936453,cnj02,scanone,self,40.340049,46.900054,1,1,1,1,1,1
94,UKTO,2011,9,51.455044,17.3117495435904,cnj02,scanone,self,44.630038,58.28005,1,1,1,1,1,1
163,PFR,2013,12,39.850023500000006,17.2280813577771,cnj02,scanone,self,33.400018,46.300029,1,1,1,1,1,1
161,PFR,2013,11,34.650040000000004,17.0525482494734,cnj02,scanone,self,31.230035,38.070045,1,1,1,1,1,1
110,UKUY,2011,9,8.240008,16.8844393528821,cnj02,scanone,self,4.840006,11.64001,1,1,1,1,1,1
75+76,UKEC,all-years+2013,11,19.56502,16.6687594179892,cnj02,scanone,self,17.250019,21.880021,2,2,1,1,1,1
159,PAC,2011,12,50.370033500000005,16.6535970653768,cnj02,scanone,self,43.510027,57.23004,1,1,1,1,1,1
137,UNAF,2011,11,44.935052,16.6330171386898,cnj02,scanone,self,38.070045,51.800059,1,1,1,1,1,1
10+11,BBITY,all-years+2012,12,56.2750395,16.49385927646035,cnj02,scanone,self,54.960038,57.590041,2,2,1,1,1,1
177+178+179,SFY,all-years+2013+2011,12,38.000020500000005,16.279388850674767,cnj02,scanone,self,33.400018,42.600023,3,3,1,1,1,1
66,UKEC,2012,5,62.415051500000004,16.2338134474589,cnj02,scanone,self,57.210047,67.620056,1,1,1,1,1,1
29,UBM,2011,11,52.110060000000004,16.1983902973608,cnj02,scanone,self,50.630058,53.590062,1,1,1,1,1,1
133,UNAB,2011,7,33.8550445,16.0648310735435,cnj02,scanone,self,29.450041,38.260048,1,1,1,1,1,1
174+175,SFY,2012+2011,11,37.950044000000005,16.0419967784319,cnj02,scanone,self,37.210042,38.690046,2,2,1,1,1,1
4,BBISFY,all-years,11,33.5350395,15.9825688410769,cnj02,scanone,self,28.380033,38.690046,1,1,1,1,1,1
